X,Y,ObjectId,Name,Address,Spaces,Fee,Comments,Phone,Neighborhood,Maxspaces,Hours,Longitude,Latitude
-7918411.415,5213945.934,1,Municipal Lot #003,115 Harvard Ave,60,No Charge,,,,0,,-71.1323,42.35261
-7920693.465,5213501.578,2,Municipal Lot #002,398 Market St,42,No Charge,,,,0,,-71.1528,42.34966
-7917331.616,5215700.967,3,Harvard University/Soldiers Field Park Garage,111 Western Ave,0,No Charge,"Only Allston and Brighton residents can park at this garage during a snow emergency only. May need to show proof of residency. Parking spots are limited and on a first-come, first-served basis. If parked past the approved the time, may be ticketed/towed.",617-496-6400,,0,,-71.1226,42.36426
-7921071.951,5203873.964,4,Municipal Lot #034,1891 Centre Street,18,No Charge,,,,0,,-71.1562,42.28571
-7920838.18,5203887.506,5,Municipal Lot #010,39-41 Corey St,53,No Charge,,,,0,,-71.1541,42.2858
-7910585.655,5214060.415,6,Lafayette Garage,1 Avenue De Lafayette,0,$10 for each 24-hour period,"Discounted parking is only for Chinatown, Downtown, and North End residents. You need to provide proof of your residency. You will be charged each time your vehicle exits and re-enters the garage.",617-357-1987,,0,,-71.062,42.35337
-7908860.203,5211509.01,7,Municipal Lot #018,450 West Broadway,60,No Charge,,,,0,,-71.0465,42.33643
-7907958.515,5211427.69,8,Municipal Lot #021,650-652 East Broadway,22,No Charge,,,,0,,-71.0384,42.33589
-7907680.216,5212805.713,9,BPDA/EDIC Garage,12 Drydock Ave,0,$1 for each night,Discounted rate for residents of South Boston only. South Boston Resident Parking Permits are required. Snow Emergency parking is allowed on the fourth floor of the garage only.,617-482-2487,,0,,-71.0359,42.34504
-7913402.038,5211611.415,10,Northeastern University/Renaissance Park Garage,835 Columbus Avenue,0,50% of the variable rate. The most you will pay is $19.00 for each 24-hour period.,"Discounted parking is for Roxbury, South End, and Fenway/Kenmore residents only. Need to have a visible resident parking permit sticker to receive the discount. Parking is based on a first-come basis and depends on the availability of space.",617-267-9851 X106,,0,,-71.0873,42.33711
-7913223.927,5212108.393,11,Northeastern University/Gainsboro Garage,10 Gainsborough Street,0,50% of the variable rate. The most you will pay is $19.00 for each 24-hour period.,"Discounted parking is for Roxbury, South End, and Fenway/Kenmore residents only. Need to have a visible resident parking permit sticker to receive the discount. Parking is based on a first-come basis and depends on the availability of space.",617-262-9851 X106,,0,,-71.0857,42.34041
-7913235.059,5213115.984,12,Auditorium Garage,50 Dalton St,0,$11.00 per 24 hours – Snow Emergency parking rate,"Back Bay, Beacon Hill, Chinatown and Beacon Street residents only. Proof of residence, utility bill or RPP sticker.
",617-247-8006,,0,,-71.0858,42.3471
-7909350.008,5217566.329,13,Shipyard Garage/Mass General Hospital,Building #199 13th St,0,FULL,"Charlestown residents only. Limited space so the garage enforces the 2 hour rule. Anyone who enters more than 2 hours before the Snow Emergency is in effect and/or departs more than 2 hours after the ban has lifted, will not receive the discount rate.",,,0,,-71.0509,42.37664
-7911698.85,5204727.182,14,Municipal Lot #017,575-581 Washington St,42,No Charge,,,,0,,-71.072,42.29138
-7910953.009,5208746.015,15,Municipal Lot #019,16 Hamlet St,100,No Charge,,,,0,,-71.0653,42.31808
-7910429.808,5206385.684,16,Municipal Lot #020,191 Adams St,22,No Charge,,,,0,,-71.0606,42.3024
-7911153.384,5208755.048,17,Municipal Lot #022,730-732 Dudley St,12,No Charge,,,,0,,-71.0671,42.31814
-7911042.065,5208759.564,18,Municipal Lot #016,8-20 Belden St,32,No Charge,,,,0,,-71.0661,42.31817
-7913001.288,5207410.73,19,Municipal Lot #023,20 Georgia St,40,No Charge,,,,0,,-71.0837,42.30921
-7911142.252,5207044.952,20,Municipal Lot #015,254-258 Bowdoin St,18,No Charge,,,,0,,-71.067,42.30678
-7911665.454,5204456.31,21,Municipal Lot #031,629 Washington St,24,No Charge,,,,0,,-71.0717,42.28958
-7912110.732,5209717.112,22,Municipal Lot #027,25 Blue Hill Ave,18,No Charge,,,,0,,-71.0757,42.32453
-7907824.931,5217228.789,23,Municipal Lot #004,40 Porter St,35,No Charge,,,,0,,-71.0372,42.3744
-7907869.459,5217299.611,24,Municipal Lot #005,166-180 London St,35,No Charge,,,,0,,-71.0376,42.37487
-7907880.591,5217406.599,25,Municipal Lot #026,36 Bennington St,26,No Charge,,,,0,,-71.0377,42.37558
-7917609.915,5199282.651,26,Municipal Lot #011,1269 Rear Hyde Park Ave,8,No Charge,,,,0,,-71.1251,42.25519
-7917431.803,5199485.693,27,Municipal Lot #012,37 Winthrop St,135,No Charge,,,,0,,-71.1235,42.25654
-7914515.233,5208515.676,28,Municipal Lot #033,3042 Washington St,39,No Charge,,,,0,,-71.0973,42.31655
-7916496.72,5207692.223,29,Municipal Lot #006,737 Centre St,103,No Charge,,,,0,,-71.1151,42.31108
-7915628.428,5209373.829,30,Municipal Lot #007,350-352 Centre St,24,No Charge,,,,0,,-71.1073,42.32225
